id,author,title,series,series_index,cover_path,is_read,language
1184,Anita Howard,Versplinterd,,1.0,C:\Users\debon\Calibre Bibliotheek\Anita Howard/Versplinterd (1184)\cover.jpg,0,nld
651,Ann Liang,A Song to Drown Rivers,,1.0,C:\Users\debon\Calibre Bibliotheek\Ann Liang/A Song to Drown Rivers (651)\cover.jpg,0,eng
790,Ann Liang,I Hope This Doesn't Find You,,1.0,C:\Users\debon\Calibre Bibliotheek\Ann Liang/I Hope This Doesn't Find You (790)\cover.jpg,0,eng
763,Ann Napolitano,Hello Beautiful: A Novel,,1.0,C:\Users\debon\Calibre Bibliotheek\Ann Napolitano/Hello Beautiful_ A Novel (763)\cover.jpg,0,eng
891,Ann Napolitano,Je bent prachtig,,1.0,C:\Users\debon\Calibre Bibliotheek\Ann Napolitano/Je bent prachtig (891)\cover.jpg,0,nld
223,Anna Todd,After Ever Happy: The After Series [Book 4],After,4.0,C:\Users\debon\Calibre Bibliotheek\Anna Todd/After Ever Happy_ The After Series (223)\cover.jpg,0,eng
237,Anna Todd,After We Collided: The After Series [Book 2],After,2.0,C:\Users\debon\Calibre Bibliotheek\Anna Todd/After We Collided_ The After Series (237)\cover.jpg,0,eng
227,Anna Todd,After We Fell: The After Series [Book 3],After,3.0,C:\Users\debon\Calibre Bibliotheek\Anna Todd/After We Fell_ The After Series [Bo (227)\cover.jpg,0,eng
248,Anna Todd,After: The After Series [Book 1],After,1.0,C:\Users\debon\Calibre Bibliotheek\Anna Todd/After_ The After Series [Book 1] (248)\cover.jpg,0,eng
221,Anna Todd,Before: The After Series [Book 5],After,5.0,C:\Users\debon\Calibre Bibliotheek\Anna Todd/Before_ The After Series [Book 5] (221)\cover.jpg,0,eng
217,Anthony Horowitz,Marble Hall Murders,,1.0,C:\Users\debon\Calibre Bibliotheek\Anthony Horowitz/Marble Hall Murders (217)\cover.jpg,0,eng
705,Antoine de Saint Exupéry,De kleine prins,,1.0,C:\Users\debon\Calibre Bibliotheek\Antoine de Saint Exupery/De kleine prins (705)\cover.jpg,1,nld
269,Antoine de Saint Exupéry,The Little Prince,,1.0,C:\Users\debon\Calibre Bibliotheek\Antoine de Saint Exupery/The Little Prince (269)\cover.jpg,1,eng
531,Antonia Hodgson,The Raven Scholar (Eternal Path Trilogy),Eternal Path Trilogy,1.0,C:\Users\debon\Calibre Bibliotheek\Antonia Hodgson/The Raven Scholar (Eternal Path Tri (531)\cover.jpg,0,eng
438,Anu Partanen,The Nordic Theory of Everything: In Search of a Better Life,,1.0,C:\Users\debon\Calibre Bibliotheek\Anu Partanen/The Nordic Theory of Everything_ In (438)\cover.jpg,0,eng
406,Anya Niewierra,De Camino,,1.0,C:\Users\debon\Calibre Bibliotheek\Anya Niewierra/De Camino (406)\cover.jpg,0,nld
1426,Arkady Martine,Rose/House,,1.0,C:\Users\debon\Calibre Bibliotheek\Arkady Martine/Rose_House (1426)\cover.jpg,0,eng
939,"Arkady Strugatsky, Boris Strugatsky",Roadside Picnic,,1.0,C:\Users\debon\Calibre Bibliotheek\Arkady Strugatsky/Roadside Picnic (939)\cover.jpg,0,eng
964,"Arkady Strugatsky, Boris Strugatsky",Roadside Picnic (Rediscovered Classics),,1.0,C:\Users\debon\Calibre Bibliotheek\Arkady Strugatsky/Roadside Picnic (Rediscovered Class (964)\cover.jpg,0,eng
974,"Arkady Strugatsky, Boris Strugatsky",Tale of the Troika,,1.0,C:\Users\debon\Calibre Bibliotheek\Arkady Strugatsky/Tale of the Troika (974)\cover.jpg,0,eng
1376,Ashley Audrain,The Push,,1.0,C:\Users\debon\Calibre Bibliotheek\Ashley Audrain/The Push (1376)\cover.jpg,0,eng
571,Ashley Elston,First Lie Wins,,1.0,C:\Users\debon\Calibre Bibliotheek\Ashley Elston/First Lie Wins (571)\cover.jpg,0,eng
736,Ashley Poston,The Seven Year Slip,,1.0,C:\Users\debon\Calibre Bibliotheek\Ashley Poston/The Seven Year Slip (736)\cover.jpg,0,eng
1335,Astrid Lindgren,Bröderna Lejonhjärta,,1.0,C:\Users\debon\Calibre Bibliotheek\Astrid Lindgren/Broderna Lejonhjarta (1335)\cover.jpg,0,swe
1280,Astrid Lindgren,Mästerdetektiven Blomkvist lever farligt,,1.0,C:\Users\debon\Calibre Bibliotheek\Astrid Lindgren/Masterdetektiven Blomkvist lever fa (1280)\cover.jpg,0,swe
1405,Astrid Lindgren,Pippi Langstrump,,1.0,C:\Users\debon\Calibre Bibliotheek\Astrid Lindgren/Pippi Langstrump (1405)\cover.jpg,0,swe
1404,Astrid Lindgren,Pippi Langstrump gar ombord,,1.0,C:\Users\debon\Calibre Bibliotheek\Astrid Lindgren/Pippi Langstrump gar ombord (1404)\cover.jpg,0,swe
1403,Astrid Lindgren,Pippi Langstrump i Soderhavet,,1.0,C:\Users\debon\Calibre Bibliotheek\Astrid Lindgren/Pippi Langstrump i Soderhavet (1403)\cover.jpg,0,swe
1401,Astrid Lindgren,Ronja Rövardotter,,1.0,C:\Users\debon\Calibre Bibliotheek\Astrid Lindgren/Ronja Rovardotter (1401)\cover.jpg,0,swe
1390,Astrid Lindgren,The Brothers Lionheart,,1.0,C:\Users\debon\Calibre Bibliotheek\Astrid Lindgren/The Brothers Lionheart (1390)\cover.jpg,0,eng
593,Audrey Ingram,The Summer We Ran,,1.0,C:\Users\debon\Calibre Bibliotheek\Audrey Ingram/The Summer We Ran (593)\cover.jpg,0,eng
1341,Ava Reid,A Study in Drowning,,1.0,C:\Users\debon\Calibre Bibliotheek\Ava Reid/A Study in Drowning (1341)\cover.jpg,0,eng
1385,Axie Oh,The Girl Who Fell Beneath the Sea,,1.0,C:\Users\debon\Calibre Bibliotheek\Axie Oh/The Girl Who Fell Beneath the Sea (1385)\cover.jpg,0,eng
1023,B. B. Alston,Amari and the Despicable Wonders,Supernatural Investigations,3.0,C:\Users\debon\Calibre Bibliotheek\B. B. Alston/Amari and the Despicable Wonders (1023)\cover.jpg,0,eng
1025,B. B. Alston,Amari and the Great Game,Supernatural Investigations,2.0,C:\Users\debon\Calibre Bibliotheek\B. B. Alston/Amari and the Great Game (1025)\cover.jpg,0,eng
1026,B. B. Alston,Amari and the Night Brothers,Supernatural Investigations,1.0,C:\Users\debon\Calibre Bibliotheek\B. B. Alston/Amari and the Night Brothers (1026)\cover.jpg,0,eng
920,B. B. Alston,Amari en de Nachtwachters,Supernatural Investigations NL,1.0,C:\Users\debon\Calibre Bibliotheek\B. B. Alston/Amari en de Nachtwachters (920)\cover.jpg,0,nld
652,B. K. Borison,First Time Caller,,1.0,C:\Users\debon\Calibre Bibliotheek\B. K. Borison/First Time Caller (652)\cover.jpg,0,eng
801,Barbara Kingsolver,Demon Copperhead,,1.0,C:\Users\debon\Calibre Bibliotheek\Barbara Kingsolver/Demon Copperhead (801)\cover.jpg,0,eng
918,Bart van Loo,Chanson Frankrijk,,1.0,C:\Users\debon\Calibre Bibliotheek\Bart van Loo/Chanson Frankrijk (918)\cover.jpg,0,nld
413,Bart van Loo,De Frankrijktrilogie,,1.0,C:\Users\debon\Calibre Bibliotheek\Bart van Loo/De Frankrijktrilogie (413)\cover.jpg,0,nld
457,Becky Albertalli,"Imogen, Obviously",,1.0,"C:\Users\debon\Calibre Bibliotheek\Becky Albertalli/Imogen, Obviously (457)\cover.jpg",0,eng
358,Becky Chambers,A Prayer for the Crown-Shy,,1.0,C:\Users\debon\Calibre Bibliotheek\Becky Chambers/A Prayer for the Crown-Shy (358)\cover.jpg,0,eng
357,Becky Chambers,A Psalm for the Wild-Built,,1.0,C:\Users\debon\Calibre Bibliotheek\Becky Chambers/A Psalm for the Wild-Built (357)\cover.jpg,0,eng
921,Bell Hooks,All About Love,,1.0,C:\Users\debon\Calibre Bibliotheek\Bell Hooks/All About Love (921)\cover.jpg,0,eng
1232,Bella Mackie,How to Kill Your Family,,1.0,C:\Users\debon\Calibre Bibliotheek\Bella Mackie/How to Kill Your Family (1232)\cover.jpg,0,eng
1182,Bella Mackie,What A Way To Go,,1.0,C:\Users\debon\Calibre Bibliotheek\Bella Mackie/What A Way To Go (1182)\cover.jpg,0,eng
1072,Ben Aaronovitch,Amongst Our Weapons,Rivers of London,9.0,C:\Users\debon\Calibre Bibliotheek\Ben Aaronovitch/Amongst Our Weapons (1072)\cover.jpg,0,eng
1081,Ben Aaronovitch,Broken Homes,Rivers of London,4.0,C:\Users\debon\Calibre Bibliotheek\Ben Aaronovitch/Broken Homes (1081)\cover.jpg,0,eng
1074,Ben Aaronovitch,False Value,Rivers of London,8.0,C:\Users\debon\Calibre Bibliotheek\Ben Aaronovitch/False Value (1074)\cover.jpg,0,eng
1077,Ben Aaronovitch,Foxglove Summer,Rivers of London,5.0,C:\Users\debon\Calibre Bibliotheek\Ben Aaronovitch/Foxglove Summer (1077)\cover.jpg,0,eng
1075,Ben Aaronovitch,Lies Sleeping: The Seventh Rivers of London novel (A Rivers of London novel Book 7),Rivers of London,7.0,C:\Users\debon\Calibre Bibliotheek\Ben Aaronovitch/Lies Sleeping_ The Seventh Rivers o (1075)\cover.jpg,0,eng
1035,Ben Aaronovitch,Moon Over Soho,Rivers of London,2.0,C:\Users\debon\Calibre Bibliotheek\Ben Aaronovitch/Moon Over Soho (1035)\cover.jpg,0,eng
1032,Ben Aaronovitch,Rivers of London,Rivers of London,1.0,C:\Users\debon\Calibre Bibliotheek\Ben Aaronovitch/Rivers of London (1032)\cover.jpg,0,eng
1078,Ben Aaronovitch,The Furthest Station,Rivers of London,5.5,C:\Users\debon\Calibre Bibliotheek\Ben Aaronovitch/The Furthest Station (1078)\cover.jpg,0,eng
1080,Ben Aaronovitch,The Hanging Tree,Rivers of London,6.0,C:\Users\debon\Calibre Bibliotheek\Ben Aaronovitch/The Hanging Tree (1080)\cover.jpg,0,eng
1076,Ben Aaronovitch,The October Man,Rivers of London,7.5,C:\Users\debon\Calibre Bibliotheek\Ben Aaronovitch/The October Man (1076)\cover.jpg,0,eng
1079,Ben Aaronovitch,What Abigail Did That Summer,Rivers of London,7.5,C:\Users\debon\Calibre Bibliotheek\Ben Aaronovitch/What Abigail Did That Summer (1079)\cover.jpg,0,eng
1045,Ben Aaronovitch,Whispers Under Ground (Rivers of London 3),Rivers of London,3.0,C:\Users\debon\Calibre Bibliotheek\Ben Aaronovitch/Whispers Under Ground (Rivers of Lo (1045)\cover.jpg,0,eng
1055,Ben Aaronovitch,Tales from the Folly,Rivers of London Story Collection,1.0,C:\Users\debon\Calibre Bibliotheek\Ben Aaronovitch/Tales from the Folly (1055)\cover.jpg,0,eng
1354,Benjamin Alire Sáenz,Aristotle and Dante Discover the Secrets of the Universe,Aristotle and Dante,1.0,C:\Users\debon\Calibre Bibliotheek\Benjamin Alire Saenz/Aristotle and Dante Discover the Se (1354)\cover.jpg,0,eng
1351,Benjamin Alire Sáenz,Aristotle and Dante Dive Into the Waters of the World,Aristotle and Dante,2.0,C:\Users\debon\Calibre Bibliotheek\Benjamin Alire Saenz/Aristotle and Dante Dive Into the W (1351)\cover.jpg,0,eng
261,Benjamin Hoff,The Tao of Pooh,,1.0,C:\Users\debon\Calibre Bibliotheek\Benjamin Hoff/The Tao of Pooh (261)\cover.jpg,0,eng
220,Bessel van der Kolk MD,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",,1.0,"C:\Users\debon\Calibre Bibliotheek\Bessel van der Kolk MD/The Body Keeps the Score_ Brain, Mi (220)\cover.jpg",0,eng
184,Blake Crouch,Dark Matter,,1.0,C:\Users\debon\Calibre Bibliotheek\Blake Crouch/Dark Matter (184)\cover.jpg,0,eng
1216,Blake Crouch,Recursion,,1.0,C:\Users\debon\Calibre Bibliotheek\Blake Crouch/Recursion (1216)\cover.jpg,0,eng
1213,Blake Crouch,Reset,,1.0,C:\Users\debon\Calibre Bibliotheek\Blake Crouch/Reset (1213)\cover.jpg,0,nld
1256,Blake Crouch,Pines,Wayward Pines,1.0,C:\Users\debon\Calibre Bibliotheek\Blake Crouch/Pines (1256)\cover.jpg,0,eng
1258,Blake Crouch,Wayward Pines 02 - Wayward,Wayward Pines,2.0,C:\Users\debon\Calibre Bibliotheek\Blake Crouch/Wayward Pines 02 - Wayward (1258)\cover.jpg,0,eng
1257,Blake Crouch,Wayward Pines 03 - The Last Town,Wayward Pines,3.0,C:\Users\debon\Calibre Bibliotheek\Blake Crouch/Wayward Pines 03 - The Last Town (1257)\cover.jpg,0,eng
310,Bonnie Garmus,Lessons in Chemistry,,1.0,C:\Users\debon\Calibre Bibliotheek\Bonnie Garmus/Lessons in Chemistry (310)\cover.jpg,0,eng
1454,Bonnie Quinn,How to Survive Camping,,1.0,C:\Users\debon\Calibre Bibliotheek\Bonnie Quinn/How to Survive Camping (1454)\cover.jpg,0,eng
432,Brandon Sanderson,Arcanum Unbounded,,1.0,C:\Users\debon\Calibre Bibliotheek\Brandon Sanderson/Arcanum Unbounded (432)\cover.jpg,0,eng
464,Brandon Sanderson,Elantris. Tenth Anniversary Author’s Definitive Edition,,1.0,C:\Users\debon\Calibre Bibliotheek\Brandon Sanderson/Elantris. Tenth Anniversary Author' (464)\cover.jpg,0,eng
1060,Brandon Sanderson,Isles of the Emberdark,,1.0,C:\Users\debon\Calibre Bibliotheek\Brandon Sanderson/Isles of the Emberdark (1060)\cover.jpg,0,eng
977,Brandon Sanderson,The Emperor's Soul,,1.0,C:\Users\debon\Calibre Bibliotheek\Brandon Sanderson/The Emperor's Soul (977)\cover.jpg,1,eng
523,Brandon Sanderson,Tress of the Emerald Sea (a Cosmere Novel),,1.0,C:\Users\debon\Calibre Bibliotheek\Brandon Sanderson/Tress of the Emerald Sea (a Cosmere (523)\cover.jpg,0,eng
589,Brandon Sanderson,Yumi and the Nightmare Painter,,1.0,C:\Users\debon\Calibre Bibliotheek\Brandon Sanderson/Yumi and the Nightmare Painter (589)\cover.jpg,0,eng
446,Brandon Sanderson,The Hope of Elantris,Elantris,1.5,C:\Users\debon\Calibre Bibliotheek\Brandon Sanderson/The Hope of Elantris (446)\cover.jpg,0,eng
366,Brandon Sanderson,Mistborn #04 - The Alloy of Law,Mistborn,4.0,C:\Users\debon\Calibre Bibliotheek\Brandon Sanderson/Mistborn #04 - The Alloy of Law (366)\cover.jpg,0,eng
196,Brandon Sanderson,Mistborn: The Final Empire,Mistborn,1.0,C:\Users\debon\Calibre Bibliotheek\Brandon Sanderson/Mistborn_ The Final Empire (196)\cover.jpg,1,eng
85,Brandon Sanderson,Shadows of Self,Mistborn,5.0,C:\Users\debon\Calibre Bibliotheek\Brandon Sanderson/Shadows of Self (85)\cover.jpg,0,eng
198,Brandon Sanderson,The Bands of Mourning,Mistborn,6.0,C:\Users\debon\Calibre Bibliotheek\Brandon Sanderson/The Bands of Mourning (198)\cover.jpg,0,eng
193,Brandon Sanderson,The Hero of Ages,Mistborn,3.0,C:\Users\debon\Calibre Bibliotheek\Brandon Sanderson/The Hero of Ages (193)\cover.jpg,0,eng
194,Brandon Sanderson,The Well of Ascension,Mistborn,2.0,C:\Users\debon\Calibre Bibliotheek\Brandon Sanderson/The Well of Ascension (194)\cover.jpg,0,eng
1268,Brandon Sanderson,The Sunlit Man,The Cosmere,27.0,C:\Users\debon\Calibre Bibliotheek\Brandon Sanderson/The Sunlit Man (1268)\cover.jpg,0,eng
